annotation_id,image_id,label,original_label,xmin,ymin,xmax,ymax
-5805312977254070955_121-14_40_10_79,-5805312977254070955_121-14_40_10,healthy,healthy-cocoa-leaf,641,0,900,337
-5805312977254070956_121-14_40_15_80,-5805312977254070956_121-14_40_15,healthy,healthy-cocoa-leaf,24,401,334,912
-5805312977254070956_121-14_40_15_81,-5805312977254070956_121-14_40_15,healthy,healthy-cocoa-leaf,215,295,577,967
-5805312977254070957_121-14_40_22_82,-5805312977254070957_121-14_40_22,healthy,healthy-cocoa-leaf,346,666,817,1055
-5805312977254070957_121-14_40_22_83,-5805312977254070957_121-14_40_22,healthy,healthy-cocoa-leaf,0,164,307,365
-5805312977254070957_121-14_40_22_84,-5805312977254070957_121-14_40_22,healthy,healthy-cocoa-leaf,0,0,243,228
-5805312977254070957_121-14_40_22_85,-5805312977254070957_121-14_40_22,healthy,healthy-cocoa-leaf,453,182,851,490
-5805312977254070958_121-14_40_26_86,-5805312977254070958_121-14_40_26,healthy,healthy-cocoa-leaf,398,12,900,593
-5805312977254070958_121-14_40_26_87,-5805312977254070958_121-14_40_26,healthy,healthy-cocoa-leaf,133,286,699,648
-5805312977254070959_121-14_40_32_88,-5805312977254070959_121-14_40_32,healthy,healthy-cocoa-leaf,0,185,219,699
-5805312977254070959_121-14_40_32_89,-5805312977254070959_121-14_40_32,healthy,healthy-cocoa-leaf,0,106,605,1134
-5805312977254070959_121-14_40_32_90,-5805312977254070959_121-14_40_32,healthy,healthy-cocoa-leaf,407,58,960,918
-5805312977254070964_121-14_42_10_91,-5805312977254070964_121-14_42_10,healthy,healthy-cocoa-leaf,0,230,882,739
-5805312977254070964_121-14_42_10_92,-5805312977254070964_121-14_42_10,healthy,healthy-cocoa-leaf,36,661,763,960
-5805312977254070964_121-14_42_10_93,-5805312977254070964_121-14_42_10,healthy,healthy-cocoa-leaf,759,643,1114,960
-5805312977254070965_121-14_42_15_94,-5805312977254070965_121-14_42_15,healthy,healthy-cocoa-leaf,246,0,614,261
-5805312977254070965_121-14_42_15_95,-5805312977254070965_121-14_42_15,healthy,healthy-cocoa-leaf,0,70,228,453
-5805312977254070965_121-14_42_15_96,-5805312977254070965_121-14_42_15,healthy,healthy-cocoa-leaf,684,15,960,432
-5805312977254070966_121-14_42_21_97,-5805312977254070966_121-14_42_21,healthy,healthy-cocoa-leaf,0,313,179,733
-5805312977254070966_121-14_42_21_98,-5805312977254070966_121-14_42_21,healthy,healthy-cocoa-leaf,133,438,547,988
-5805312977254070966_121-14_42_21_99,-5805312977254070966_121-14_42_21,healthy,healthy-cocoa-leaf,559,353,960,1192
-5805312977254070967_121-14_42_27_100,-5805312977254070967_121-14_42_27,healthy,healthy-cocoa-leaf,9,413,437,1183
-5805312977254070967_121-14_42_27_101,-5805312977254070967_121-14_42_27,healthy,healthy-cocoa-leaf,377,483,960,1098
-5805312977254070967_121-14_42_27_102,-5805312977254070967_121-14_42_27,healthy,healthy-cocoa-leaf,219,824,708,1280
-5805312977254070971_121-14_44_30_103,-5805312977254070971_121-14_44_30,healthy,healthy-cocoa-leaf,52,433,827,805
-5805312977254070971_121-14_44_30_104,-5805312977254070971_121-14_44_30,healthy,healthy-cocoa-leaf,198,75,350,233
-5805312977254070971_121-14_44_30_105,-5805312977254070971_121-14_44_30,healthy,healthy-cocoa-leaf,412,59,576,285
-5805312977254070971_121-14_44_30_106,-5805312977254070971_121-14_44_30,healthy,healthy-cocoa-leaf,125,857,706,960
-5805312977254070972_121-14_44_37_107,-5805312977254070972_121-14_44_37,healthy,healthy-cocoa-leaf,0,458,786,800
-5805312977254070972_121-14_44_37_108,-5805312977254070972_121-14_44_37,healthy,healthy-cocoa-leaf,0,82,282,524
-5805312977254070972_121-14_44_37_109,-5805312977254070972_121-14_44_37,healthy,healthy-cocoa-leaf,186,32,407,363
-5805312977254070973_121-14_44_42_110,-5805312977254070973_121-14_44_42,healthy,healthy-cocoa-leaf,510,122,872,973
-5805312977254070973_121-14_44_42_111,-5805312977254070973_121-14_44_42,healthy,healthy-cocoa-leaf,88,1000,206,1280
-5805312977254070973_121-14_44_42_112,-5805312977254070973_121-14_44_42,healthy,healthy-cocoa-leaf,194,331,401,581
-5805312977254070974_121-14_44_47_113,-5805312977254070974_121-14_44_47,healthy,healthy-cocoa-leaf,179,58,881,1280
-5805312977254070975_121-14_44_52_114,-5805312977254070975_121-14_44_52,healthy,healthy-cocoa-leaf,304,240,766,1225
-5805312977254070975_121-14_44_52_115,-5805312977254070975_121-14_44_52,healthy,healthy-cocoa-leaf,0,523,237,894
-5805312977254070976_121-14_44_57_116,-5805312977254070976_121-14_44_57,healthy,healthy-cocoa-leaf,152,294,918,661
-5805312977254070976_121-14_44_57_117,-5805312977254070976_121-14_44_57,healthy,healthy-cocoa-leaf,914,0,1244,292
-5805312977254070977_121-14_45_2_118,-5805312977254070977_121-14_45_2,healthy,healthy-cocoa-leaf,559,97,960,307
-5805312977254070977_121-14_45_2_119,-5805312977254070977_121-14_45_2,healthy,healthy-cocoa-leaf,620,459,821,1174
-5805312977254070977_121-14_45_2_120,-5805312977254070977_121-14_45_2,healthy,healthy-cocoa-leaf,206,362,465,912
-5805312977254070978_121-14_45_7_121,-5805312977254070978_121-14_45_7,healthy,healthy-cocoa-leaf,0,292,361,730
-5805312977254070978_121-14_45_7_122,-5805312977254070978_121-14_45_7,healthy,healthy-cocoa-leaf,0,52,331,417
-5805312977254070978_121-14_45_7_123,-5805312977254070978_121-14_45_7,healthy,healthy-cocoa-leaf,377,608,602,1280
-5805312977254070978_121-14_45_7_124,-5805312977254070978_121-14_45_7,healthy,healthy-cocoa-leaf,659,520,830,936
-5805312977254070978_121-14_45_7_125,-5805312977254070978_121-14_45_7,healthy,healthy-cocoa-leaf,553,721,763,1280
-5805312977254070979_121-14_45_11_126,-5805312977254070979_121-14_45_11,healthy,healthy-cocoa-leaf,310,380,796,1171
-5805312977254070979_121-14_45_11_127,-5805312977254070979_121-14_45_11,healthy,healthy-cocoa-leaf,136,505,395,918
-5805312977254070979_121-14_45_11_128,-5805312977254070979_121-14_45_11,healthy,healthy-cocoa-leaf,580,797,960,1210
-5805312977254070980_121-14_45_17_129,-5805312977254070980_121-14_45_17,healthy,healthy-cocoa-leaf,0,88,586,1015
-5805312977254070980_121-14_45_17_130,-5805312977254070980_121-14_45_17,healthy,healthy-cocoa-leaf,291,225,866,1198
-5805312977254070984_121-14_46_26_131,-5805312977254070984_121-14_46_26,healthy,healthy-cocoa-leaf,191,505,547,1174
-5805312977254070984_121-14_46_26_132,-5805312977254070984_121-14_46_26,healthy,healthy-cocoa-leaf,632,182,960,727
-5805312977254070985_121-14_46_30_133,-5805312977254070985_121-14_46_30,healthy,healthy-cocoa-leaf,295,432,586,952
-5805312977254070985_121-14_46_30_134,-5805312977254070985_121-14_46_30,healthy,healthy-cocoa-leaf,0,301,246,490
-5805312977254070986_121-14_46_36_135,-5805312977254070986_121-14_46_36,healthy,healthy-cocoa-leaf,133,459,419,1186
-5805312977254070986_121-14_46_36_136,-5805312977254070986_121-14_46_36,healthy,healthy-cocoa-leaf,0,213,188,447
-5805312977254070987_121-14_46_41_137,-5805312977254070987_121-14_46_41,healthy,healthy-cocoa-leaf,279,459,741,839
-5805312977254070988_121-14_46_46_138,-5805312977254070988_121-14_46_46,healthy,healthy-cocoa-leaf,167,268,699,1253
-5805312977254070988_121-14_46_46_139,-5805312977254070988_121-14_46_46,healthy,healthy-cocoa-leaf,0,106,249,365
-5805312977254070991_121-15_0_0_140,-5805312977254070991_121-15_0_0,healthy,healthy-cocoa-leaf,371,192,793,930
-5805312977254070992_121-15_0_4_141,-5805312977254070992_121-15_0_4,healthy,healthy-cocoa-leaf,440,237,772,1058
-5805312977254070992_121-15_0_4_142,-5805312977254070992_121-15_0_4,healthy,healthy-cocoa-leaf,18,234,179,651
-5805312977254070993_121-15_0_9_143,-5805312977254070993_121-15_0_9,healthy,healthy-cocoa-leaf,182,353,547,1028
-5805312977254070993_121-15_0_9_144,-5805312977254070993_121-15_0_9,healthy,healthy-cocoa-leaf,571,24,960,468
-5805312977254070993_121-15_0_9_145,-5805312977254070993_121-15_0_9,healthy,healthy-cocoa-leaf,623,337,960,678
-5805312977254070993_121-15_0_9_146,-5805312977254070993_121-15_0_9,healthy,healthy-cocoa-leaf,24,79,243,307
-5805312977254070994_121-15_0_15_147,-5805312977254070994_121-15_0_15,healthy,healthy-cocoa-leaf,139,201,577,508
-5805312977254070994_121-15_0_15_148,-5805312977254070994_121-15_0_15,healthy,healthy-cocoa-leaf,139,751,395,1031
-5805312977254070995_121-15_0_19_149,-5805312977254070995_121-15_0_19,healthy,healthy-cocoa-leaf,392,67,665,1228
-5805312977254070996_121-15_4_31_150,-5805312977254070996_121-15_4_31,healthy,healthy-cocoa-leaf,0,43,352,374
-5805312977254070996_121-15_4_31_151,-5805312977254070996_121-15_4_31,healthy,healthy-cocoa-leaf,185,76,839,1280
-5805312977254070997_121-15_4_38_152,-5805312977254070997_121-15_4_38,healthy,healthy-cocoa-leaf,389,103,729,465
-5805312977254070997_121-15_4_38_153,-5805312977254070997_121-15_4_38,healthy,healthy-cocoa-leaf,793,225,927,477
-5805312977254070998_121-15_4_43_154,-5805312977254070998_121-15_4_43,healthy,healthy-cocoa-leaf,266,322,943,648
-5805312977254070998_121-15_4_43_155,-5805312977254070998_121-15_4_43,healthy,healthy-cocoa-leaf,54,265,330,363
-5805312977254070999_121-15_4_48_156,-5805312977254070999_121-15_4_48,healthy,healthy-cocoa-leaf,288,125,745,830
-5805312977254070999_121-15_4_48_157,-5805312977254070999_121-15_4_48,healthy,healthy-cocoa-leaf,632,733,960,1280
-5805312977254071000_121-15_5_39_158,-5805312977254071000_121-15_5_39,healthy,healthy-cocoa-leaf,179,635,596,1244
-5805312977254071000_121-15_5_39_159,-5805312977254071000_121-15_5_39,healthy,healthy-cocoa-leaf,88,0,395,158
-5805312977254071001_121-15_10_29_160,-5805312977254071001_121-15_10_29,healthy,healthy-cocoa-leaf,0,265,556,976
-5805312977254071001_121-15_10_29_161,-5805312977254071001_121-15_10_29,healthy,healthy-cocoa-leaf,401,678,884,1277
-5805312977254071002_121-15_10_34_162,-5805312977254071002_121-15_10_34,healthy,healthy-cocoa-leaf,146,632,675,1280
-5805312977254071002_121-15_10_34_163,-5805312977254071002_121-15_10_34,healthy,healthy-cocoa-leaf,0,268,170,648
-5805312977254071003_121-15_10_38_164,-5805312977254071003_121-15_10_38,healthy,healthy-cocoa-leaf,51,499,331,851
-5805312977254071003_121-15_10_38_165,-5805312977254071003_121-15_10_38,healthy,healthy-cocoa-leaf,386,602,748,1204
-5805312977254071003_121-15_10_38_166,-5805312977254071003_121-15_10_38,healthy,healthy-cocoa-leaf,757,222,960,1095
-5805312977254071003_121-15_10_38_167,-5805312977254071003_121-15_10_38,healthy,healthy-cocoa-leaf,298,58,735,508
-5805312977254071003_121-15_10_38_168,-5805312977254071003_121-15_10_38,healthy,healthy-cocoa-leaf,45,0,480,277
-5805312977254071004_121-15_10_42_169,-5805312977254071004_121-15_10_42,healthy,healthy-cocoa-leaf,3,158,696,939
-5805312977254071004_121-15_10_42_170,-5805312977254071004_121-15_10_42,healthy,healthy-cocoa-leaf,158,1006,468,1280
-5805312977254071005_121-15_10_46_171,-5805312977254071005_121-15_10_46,healthy,healthy-cocoa-leaf,215,265,693,1280
-5805312977254071005_121-15_10_46_172,-5805312977254071005_121-15_10_46,healthy,healthy-cocoa-leaf,45,474,328,946
-5805312977254071005_121-15_10_46_173,-5805312977254071005_121-15_10_46,healthy,healthy-cocoa-leaf,565,420,909,909
-5805312977254071006_121-15_10_50_174,-5805312977254071006_121-15_10_50,healthy,healthy-cocoa-leaf,112,587,462,1280
-5805312977254071006_121-15_10_50_175,-5805312977254071006_121-15_10_50,healthy,healthy-cocoa-leaf,346,614,830,1247
-5805312977254071006_121-15_10_50_176,-5805312977254071006_121-15_10_50,healthy,healthy-cocoa-leaf,416,496,960,827
-5805312977254071006_121-15_10_50_177,-5805312977254071006_121-15_10_50,healthy,healthy-cocoa-leaf,21,9,304,280
-5805312977254071007_121-15_10_55_178,-5805312977254071007_121-15_10_55,healthy,healthy-cocoa-leaf,240,520,824,839
-5805312977254071007_121-15_10_55_179,-5805312977254071007_121-15_10_55,healthy,healthy-cocoa-leaf,33,654,842,1076
-5805312977254071007_121-15_10_55_180,-5805312977254071007_121-15_10_55,healthy,healthy-cocoa-leaf,802,322,960,648
-5805312977254071008_121-15_11_1_181,-5805312977254071008_121-15_11_1,healthy,healthy-cocoa-leaf,0,976,401,1280
-5805312977254071008_121-15_11_1_182,-5805312977254071008_121-15_11_1,healthy,healthy-cocoa-leaf,18,152,778,1231
-5805312977254071010_121-15_11_11_183,-5805312977254071010_121-15_11_11,healthy,healthy-cocoa-leaf,0,806,459,1280
-5805312977254071010_121-15_11_11_184,-5805312977254071010_121-15_11_11,healthy,healthy-cocoa-leaf,717,61,960,657
-5805312977254071011_121-15_12_6_185,-5805312977254071011_121-15_12_6,healthy,healthy-cocoa-leaf,401,261,857,1043
-5805312977254071011_121-15_12_6_186,-5805312977254071011_121-15_12_6,healthy,healthy-cocoa-leaf,161,46,410,407
-5805312977254071012_121-15_12_10_187,-5805312977254071012_121-15_12_10,healthy,healthy-cocoa-leaf,57,398,592,1028
-5805312977254071012_121-15_12_10_188,-5805312977254071012_121-15_12_10,healthy,healthy-cocoa-leaf,565,1091,912,1280
-5805312977254071012_121-15_12_10_189,-5805312977254071012_121-15_12_10,healthy,healthy-cocoa-leaf,523,812,839,1180
-5805312977254071013_121-15_12_14_190,-5805312977254071013_121-15_12_14,healthy,healthy-cocoa-leaf,0,839,471,1262
-5805312977254071013_121-15_12_14_191,-5805312977254071013_121-15_12_14,healthy,healthy-cocoa-leaf,389,988,684,1280
-5805312977254071013_121-15_12_14_192,-5805312977254071013_121-15_12_14,healthy,healthy-cocoa-leaf,319,97,897,1280
-5805312977254071014_121-15_12_18_193,-5805312977254071014_121-15_12_18,healthy,healthy-cocoa-leaf,246,474,851,1280
-5805312977254071015_121-15_12_23_194,-5805312977254071015_121-15_12_23,healthy,healthy-cocoa-leaf,273,97,808,1280
-5805312977254071015_121-15_12_23_195,-5805312977254071015_121-15_12_23,healthy,healthy-cocoa-leaf,0,0,559,316
-5805312977254071016_121-15_12_27_196,-5805312977254071016_121-15_12_27,healthy,healthy-cocoa-leaf,0,33,565,638
-5805312977254071017_121-15_12_32_197,-5805312977254071017_121-15_12_32,healthy,healthy-cocoa-leaf,4,280,287,698
-5805312977254071017_121-15_12_32_198,-5805312977254071017_121-15_12_32,healthy,healthy-cocoa-leaf,492,262,797,702
-5805312977254071018_121-15_12_36_199,-5805312977254071018_121-15_12_36,healthy,healthy-cocoa-leaf,197,258,696,946
-5805312977254071018_121-15_12_36_200,-5805312977254071018_121-15_12_36,healthy,healthy-cocoa-leaf,0,134,462,389
-5805312977254071023_121-15_13_33_201,-5805312977254071023_121-15_13_33,healthy,healthy-cocoa-leaf,0,210,690,1183
-5805312977254071023_121-15_13_33_202,-5805312977254071023_121-15_13_33,healthy,healthy-cocoa-leaf,775,474,960,882
-5805312977254071023_121-15_13_33_203,-5805312977254071023_121-15_13_33,healthy,healthy-cocoa-leaf,814,985,960,1280
-5805312977254071024_121-15_13_38_204,-5805312977254071024_121-15_13_38,healthy,healthy-cocoa-leaf,368,198,702,827
-5805312977254071024_121-15_13_38_205,-5805312977254071024_121-15_13_38,healthy,healthy-cocoa-leaf,91,444,626,1022
-5805312977254071025_121-15_13_44_206,-5805312977254071025_121-15_13_44,healthy,healthy-cocoa-leaf,425,106,960,748
-5805312977254071025_121-15_13_44_207,-5805312977254071025_121-15_13_44,healthy,healthy-cocoa-leaf,0,21,346,395
-5805312977254071026_121-15_13_48_208,-5805312977254071026_121-15_13_48,healthy,healthy-cocoa-leaf,231,88,757,757
-5805312977254071027_121-15_13_53_209,-5805312977254071027_121-15_13_53,healthy,healthy-cocoa-leaf,167,532,596,1064
-5805312977254071030_121-15_14_9_210,-5805312977254071030_121-15_14_9,healthy,healthy-cocoa-leaf,0,231,605,1022
-5805312977254071030_121-15_14_9_211,-5805312977254071030_121-15_14_9,healthy,healthy-cocoa-leaf,468,407,903,1280
-5805312977254071031_121-15_14_15_212,-5805312977254071031_121-15_14_15,healthy,healthy-cocoa-leaf,374,730,912,1280
-5805312977254071031_121-15_14_15_213,-5805312977254071031_121-15_14_15,healthy,healthy-cocoa-leaf,200,231,489,897
-5805312977254071031_121-15_14_15_214,-5805312977254071031_121-15_14_15,healthy,healthy-cocoa-leaf,580,167,918,608
-5805312977254071032_121-15_14_52_215,-5805312977254071032_121-15_14_52,healthy,healthy-cocoa-leaf,541,128,842,337
-5805312977254071032_121-15_14_52_216,-5805312977254071032_121-15_14_52,healthy,healthy-cocoa-leaf,322,213,672,900
-5805312977254071033_121-15_14_57_217,-5805312977254071033_121-15_14_57,healthy,healthy-cocoa-leaf,234,562,784,1240
-5805312977254071033_121-15_14_57_218,-5805312977254071033_121-15_14_57,healthy,healthy-cocoa-leaf,0,195,456,486
-5805312977254071035_121-15_15_3_219,-5805312977254071035_121-15_15_3,healthy,healthy-cocoa-leaf,70,531,667,882
-5805312977254071035_121-15_15_3_220,-5805312977254071035_121-15_15_3,healthy,healthy-cocoa-leaf,305,390,651,581
-5805312977254071036_121-15_15_14_221,-5805312977254071036_121-15_15_14,healthy,healthy-cocoa-leaf,471,623,960,952
-5805312977254071036_121-15_15_14_222,-5805312977254071036_121-15_15_14,healthy,healthy-cocoa-leaf,404,873,954,1070
-5805312977254071036_121-15_15_14_223,-5805312977254071036_121-15_15_14,healthy,healthy-cocoa-leaf,164,386,407,845
-5805312977254071038_121-15_15_34_224,-5805312977254071038_121-15_15_34,healthy,healthy-cocoa-leaf,118,210,787,1280
-5805312977254071039_121-15_15_40_225,-5805312977254071039_121-15_15_40,healthy,healthy-cocoa-leaf,0,216,279,1049
-5805312977254071039_121-15_15_40_226,-5805312977254071039_121-15_15_40,healthy,healthy-cocoa-leaf,361,58,945,739
