image_id,image_path,plant,disease,label,source_dataset,source_archive,image_hash,split,object_count
kara_healthy_02_healthy_02_134349CB-EB86-4ED0-B9B2-C7AAA9DC4494-22_58_21,data/processed/final/train/images/kara_healthy_02_healthy_02_134349CB-EB86-4ED0-B9B2-C7AAA9DC4494-22_58_21.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,ae3c2e3276bacdb9cd8b5b74864b20f6d8c0157cd990acda64bfb46e36670149,train,2
kara_healthy_02_healthy_02_137323C4-0278-444B-AC29-BBCEC7FF7C7F-0_31_9,data/processed/final/train/images/kara_healthy_02_healthy_02_137323C4-0278-444B-AC29-BBCEC7FF7C7F-0_31_9.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,053a778334f2e3923fc299acf28eab6360f5d64a07be09574ea76f115000e223,train,2
kara_healthy_02_healthy_02_1388CEF1-C650-425C-94B7-B75C503D5E5F-1_4_22,data/processed/final/train/images/kara_healthy_02_healthy_02_1388CEF1-C650-425C-94B7-B75C503D5E5F-1_4_22.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,5d01f9820371c868d9f61a52c1722c78bdcd11dd6b443df0de27b68e21c98728,train,2
kara_healthy_02_healthy_02_1436E62E-596C-4BD1-B112-FA26DD8672DF-19_49_17,data/processed/final/train/images/kara_healthy_02_healthy_02_1436E62E-596C-4BD1-B112-FA26DD8672DF-19_49_17.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,b900b9a6e5cfef272a595a7f2ca625fc006dd5bc8154df137ebebb2ff110acc3,train,4
kara_healthy_02_healthy_02_15499552-2031-42CD-8328-12049503C233-9_53_51,data/processed/final/train/images/kara_healthy_02_healthy_02_15499552-2031-42CD-8328-12049503C233-9_53_51.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,aef7eff3fbabd75ebbc8cab17c28a0076f84952d6dde2a9a64b508a77cd35b58,train,2
kara_healthy_02_healthy_02_15564CAD-B884-40DE-877D-782CF4B2052A-1_23_15,data/processed/final/train/images/kara_healthy_02_healthy_02_15564CAD-B884-40DE-877D-782CF4B2052A-1_23_15.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,b3f5d285be90abb4f8166f408085df50f075b53f758f5889873f8b5604be9112,train,2
kara_healthy_02_healthy_02_15694A4F-45FE-4818-B179-6EB1A9625ED7-19_48_56,data/processed/final/train/images/kara_healthy_02_healthy_02_15694A4F-45FE-4818-B179-6EB1A9625ED7-19_48_56.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,b82aab03ebee57919c05089c469f658891681e7be37c5f75316d3fe3b46a8b39,train,2
kara_healthy_02_healthy_02_15888847-5444-4552-82AA-0A23C295CC3B-18_40_22,data/processed/final/train/images/kara_healthy_02_healthy_02_15888847-5444-4552-82AA-0A23C295CC3B-18_40_22.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,f9aad72f33af6903d8225d77fad1c149674a1a58003f82aa17a029c3c5b0f163,train,2
kara_healthy_02_healthy_02_160389B8-7816-410F-81AB-D99C7A20D625-18_39_53,data/processed/final/train/images/kara_healthy_02_healthy_02_160389B8-7816-410F-81AB-D99C7A20D625-18_39_53.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,5d678a9afaf8b082571089a27e3bf268d0e9eead3e6b71c03f14208b3d5b27ac,train,1
kara_healthy_02_healthy_02_1635686798670,data/processed/final/train/images/kara_healthy_02_healthy_02_1635686798670.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,cdb2fa4ac93098789c881596330fa73e7ff5786b77aaba682fa0501ad6f987fe,train,4
kara_healthy_02_healthy_02_1635686851777,data/processed/final/train/images/kara_healthy_02_healthy_02_1635686851777.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,27402e949aec34ae825766543e6eb976223f59ac24dd474ab4630eeaa8b4bcff,train,3
kara_healthy_02_healthy_02_1635686894873,data/processed/final/train/images/kara_healthy_02_healthy_02_1635686894873.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,df09311d9390bb4c56c147a8a360a455ddae8b1b858b6a74962a59ee1d2869a9,train,3
kara_healthy_02_healthy_02_1635687004429,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687004429.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,93999e7419e6bdd7849e6eb6ee7d62e35965116cd42465b5fa39cd84421d68cf,train,4
kara_healthy_02_healthy_02_1635687076718,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687076718.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,9346f0b7028aa00ce0fe1d7f6f278c11f166e1ef73b07371d1699796c6a39d63,train,2
kara_healthy_02_healthy_02_1635687134159,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687134159.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,ca142f3299a934da90977ee8009f60127a6607b00f2d0f1906b9c14eab9cb7d4,train,6
kara_healthy_02_healthy_02_1635687208689,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687208689.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,bf8a3bd02e8d8a0d320e221b8f43173e1a978b77ffadb3580e5836ef1dcfd915,train,2
kara_healthy_02_healthy_02_1635687322612,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687322612.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,d3f6e912595e3669f9609cd35cf2bbe73e885be0ac68c0fdb068e23acf7f1a87,train,2
kara_healthy_02_healthy_02_1635687688978,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687688978.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,e878314670413993a5a14bc018e77852780ea0edf1d5315d06d720d8334f665c,train,4
kara_healthy_02_healthy_02_1635687744885,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687744885.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,8820b7bf4c7a20865b9a91f816022570f06bcbc60b5349d0c6f58decb74314a7,train,2
kara_healthy_02_healthy_02_1635687792884,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687792884.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,1f47b4ae257077bad01de225edeec6f46b53d3e41b6bfaefec73bbcab1ee5ae8,train,1
kara_healthy_02_healthy_02_1635687851904,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687851904.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,9fb8e12048e23cc9b3ed7963adace536895097300d2f41f6f034ed298f0ed17a,train,3
kara_healthy_02_healthy_02_1635687908182,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687908182.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,e26ea0d7d2bb0aa1353ea92641d45c5d56cb51997dcfc2eb58d1e33251c3afb2,train,1
kara_healthy_02_healthy_02_1635687961267,data/processed/final/train/images/kara_healthy_02_healthy_02_1635687961267.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,608e6e1dd81131053fece2ec4a3dd14438b6789ae5c746ebd982c22a00062fe8,train,6
kara_healthy_02_healthy_02_1635688079961,data/processed/final/train/images/kara_healthy_02_healthy_02_1635688079961.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,08f6dd8eb58118441e1db4d855d63169c5984709c36136fdfc8d52450456c44e,train,2
kara_healthy_02_healthy_02_1635688136381,data/processed/final/train/images/kara_healthy_02_healthy_02_1635688136381.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,e69229ca8dbc756bd48ebe8297a8ccdd51715966c3a22ddcec5a919ed90deb7f,train,2
kara_healthy_02_healthy_02_1635688199144,data/processed/final/train/images/kara_healthy_02_healthy_02_1635688199144.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,8ba7fbf9864fa54de6197e2397875ec80c611c14c81a9151b4cdfb3f814b5131,train,5
kara_healthy_02_healthy_02_1635688477005,data/processed/final/train/images/kara_healthy_02_healthy_02_1635688477005.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,f749c092f7cd726c41284c75e9be3bdd7685df5af889998e15485eb79496d077,train,1
kara_healthy_02_healthy_02_1635688585593,data/processed/final/train/images/kara_healthy_02_healthy_02_1635688585593.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,c461c724537bea3c79890e2fbc89a96620e3edbe3beb28584d6f81edf32d6530,train,2
kara_healthy_02_healthy_02_1635688652810,data/processed/final/train/images/kara_healthy_02_healthy_02_1635688652810.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,372683d6bc6b9e7d12790a941a86bc682e9d59fd462deb4be5241e02b6a546fd,train,1
kara_healthy_02_healthy_02_1635688754218,data/processed/final/train/images/kara_healthy_02_healthy_02_1635688754218.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,aba395603ee55cb1e9c9ce23c7a7d4f0860555749618f12f97db8fa12ce33bd0,train,3
kara_healthy_02_healthy_02_1635689558298,data/processed/final/train/images/kara_healthy_02_healthy_02_1635689558298.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,c3c0e9a7811e83290ad05715cb2b8cfcb4855dabbd319ecb32839024ddad7be1,train,3
kara_healthy_02_healthy_02_1635690043780,data/processed/final/train/images/kara_healthy_02_healthy_02_1635690043780.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,73e09ab401ac996df3157361638e51413de17c9265ed6ad369b509a8056c8800,train,7
kara_healthy_02_healthy_02_1635690107208,data/processed/final/train/images/kara_healthy_02_healthy_02_1635690107208.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,9ed7f4e51e551f776f13594f7edd6feff5f1741e27f544a898812a4d5fd4bce1,train,3
kara_healthy_02_healthy_02_1635703304777,data/processed/final/train/images/kara_healthy_02_healthy_02_1635703304777.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,e4588ba56b642a0bbee673b223a55fb799fb33e85cb0472284865c46a198286b,train,3
kara_healthy_02_healthy_02_1635703431178,data/processed/final/train/images/kara_healthy_02_healthy_02_1635703431178.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,d4d161aea241f22374d805a8bbbed87bdcec8b9ae967ea31ba67654546ff1e91,train,7
kara_healthy_02_healthy_02_1635703507131,data/processed/final/train/images/kara_healthy_02_healthy_02_1635703507131.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,e8ab76d46450156749dfe5a424e6c629aca6d7219811e42d55a2c94efb3a4d17,train,11
kara_healthy_02_healthy_02_1635703623771,data/processed/final/train/images/kara_healthy_02_healthy_02_1635703623771.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,01910cff0cab2b50066f933cdb0f7c48bca7c7562e1112cb853c5175da485dc1,train,12
kara_healthy_02_healthy_02_1635703676082,data/processed/final/train/images/kara_healthy_02_healthy_02_1635703676082.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,2d055a20ea78f93a17b99fec191fb1d9af9f9d2ab677aafedb6c70209279c929,train,10
kara_healthy_02_healthy_02_1635703784642,data/processed/final/train/images/kara_healthy_02_healthy_02_1635703784642.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,88292387441a4754ad32ce051be8a9306572cefad789fdece4b22c920495a228,train,7
kara_healthy_02_healthy_02_1635703857717,data/processed/final/train/images/kara_healthy_02_healthy_02_1635703857717.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,0327bdbeec02404c44f8561c5c3b0a327d79b351404bb3d1784b956056b2d030,train,14
kara_healthy_02_healthy_02_1635704096313,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704096313.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,18c4da1da76e1ef2776e15f70816496b5ff1e9c4951ce8115d4cd2de227b7578,train,10
kara_healthy_02_healthy_02_1635704174778,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704174778.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,a0d8b455b9ddd3d6d7c590c17bc9e1261f87bcb521ab43d0f4d88a063e15ae5e,train,5
kara_healthy_02_healthy_02_1635704236091,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704236091.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,00864307839b5892d4ec28493be7e1261691206c40c3aedb606138351e4c87bc,train,8
kara_healthy_02_healthy_02_1635704304678,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704304678.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,f5f81b522592f3441b666b51fd819c3cee72ecffde4e0a101e947440c0420e04,train,6
kara_healthy_02_healthy_02_1635704372268,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704372268.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,51d7091d8f59097c78d07cf023cccc3cacdf63b9e874c8b09ad1680606da7edc,train,10
kara_healthy_02_healthy_02_1635704426466,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704426466.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,343b8c75f02e56d16477074ac8dab3b2554a5114e405d3125ab19777aa569353,train,6
kara_healthy_02_healthy_02_1635704481570,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704481570.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,bf9fbe6cc13c2b0073c1eea196e26131ab7f1af73f2d0cc3339099897d9380d7,train,5
kara_healthy_02_healthy_02_1635704540385,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704540385.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,7719030f5d20b25852e1f17a78cc7ed3e1263417c4822553e3921a0abbfaf88d,train,6
kara_healthy_02_healthy_02_1635704599919,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704599919.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,54d1d26c0fa1dcf6796e7216bca77ad6e681478cfb8043691baa15a84b1f0271,train,5
kara_healthy_02_healthy_02_1635704845918,data/processed/final/train/images/kara_healthy_02_healthy_02_1635704845918.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,8a2ed3c49d997a30cf2822cc0e8ee118fb083c2ed0c3c547e0c4e2ac746c3c3c,train,3
kara_healthy_02_healthy_02_1635705040017,data/processed/final/train/images/kara_healthy_02_healthy_02_1635705040017.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,3d45e3f00c0205fd8cc434ce8223769d39d4758a3189103a216d49c2aaeb050f,train,5
kara_healthy_02_healthy_02_1635705131425,data/processed/final/train/images/kara_healthy_02_healthy_02_1635705131425.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,45069a9542018b1b2159de9a65c760c0ea49bcadb4f1adb67ac5029668fb86d9,train,5
kara_healthy_02_healthy_02_1635705193764,data/processed/final/train/images/kara_healthy_02_healthy_02_1635705193764.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,00194009fcf9ef7c6508a634fe11eeaf982f8506faff70b4eac5fbcd8579ef39,train,3
kara_healthy_02_healthy_02_1635705285263,data/processed/final/train/images/kara_healthy_02_healthy_02_1635705285263.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,31ade693f3ff66675aaf61ecdb28f99e6ac9e15a96fdc6fd51d05062f0d3df26,train,3
kara_healthy_02_healthy_02_1635707261812,data/processed/final/train/images/kara_healthy_02_healthy_02_1635707261812.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,7fa6207a2ae0c51108e1c4da0a39f356d0d5846b97ef290bddab5d0e8378f5cd,train,6
kara_healthy_02_healthy_02_1635707309046,data/processed/final/train/images/kara_healthy_02_healthy_02_1635707309046.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,357588c00a226cb87a7820083a084b439b5f5c7c8249efd6247987b2facdce3d,train,5
kara_healthy_02_healthy_02_1635937457267,data/processed/final/train/images/kara_healthy_02_healthy_02_1635937457267.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,11fca9c60ce513550d84b6d51ad36fabbabe451c08a7c0e36207bac07764a689,train,2
kara_healthy_02_healthy_02_1635937536559,data/processed/final/train/images/kara_healthy_02_healthy_02_1635937536559.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,369fc8efb1f5a228caccbf6232745b65d0b33fbe202f9a2344d40169d0d72858,train,2
kara_healthy_02_healthy_02_1635937858107,data/processed/final/train/images/kara_healthy_02_healthy_02_1635937858107.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,113a3d35e54ab396196cc9ba015638d8847d682c6e983ac49e437855fc06ba11,train,9
kara_healthy_02_healthy_02_1635937934948,data/processed/final/train/images/kara_healthy_02_healthy_02_1635937934948.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,98eede36369e8a8c643dca3aabdef564b35c061ecb60424161f02c1feecdfc5b,train,8
kara_healthy_02_healthy_02_1635938005582,data/processed/final/train/images/kara_healthy_02_healthy_02_1635938005582.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,9b8f7e226318150d9f337bbca2adc511cbcb0f51d076f2bd1dd6d5d26233a645,train,8
kara_healthy_02_healthy_02_1635938363171,data/processed/final/train/images/kara_healthy_02_healthy_02_1635938363171.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,8e9aca037a609ade4d2a72b2a3e992419f59fa1fd5067afcdcc773d037d00339,train,5
kara_healthy_02_healthy_02_1635938587586,data/processed/final/train/images/kara_healthy_02_healthy_02_1635938587586.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,20dfb2c2f3ebe6cef5e16b6dffe5266d859e3abf0dd95f571597d11c7ce5dfa4,train,6
kara_healthy_02_healthy_02_1635938667735,data/processed/final/train/images/kara_healthy_02_healthy_02_1635938667735.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,cdcef0535ea7695afc7ee3b36be4fe144323584d09d73e2b9609aeb0081bd296,train,10
kara_healthy_02_healthy_02_1635938818581,data/processed/final/train/images/kara_healthy_02_healthy_02_1635938818581.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,cb6b9e984e076c5442c900954e756a7bf10fde29005432ddc13a06c0afed1b56,train,6
kara_healthy_02_healthy_02_1635938915468,data/processed/final/train/images/kara_healthy_02_healthy_02_1635938915468.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,fb649f0b88ab6a026bc68aa6f5f03bb4233c3626f97cc2839fba44aee0f26da0,train,3
kara_healthy_02_healthy_02_1635939032123,data/processed/final/train/images/kara_healthy_02_healthy_02_1635939032123.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,1f41f66c9ae87c77f1cf4664f5ca24a04d7c381cdf1357f35a017a6af64a8555,train,5
kara_healthy_02_healthy_02_1635939186651,data/processed/final/train/images/kara_healthy_02_healthy_02_1635939186651.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,73c2fde5adaa7dcfcf7350333e9984d8db0035699dc2233b4eced5d4df0b3ecf,train,8
kara_healthy_02_healthy_02_1635939297317,data/processed/final/train/images/kara_healthy_02_healthy_02_1635939297317.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,9f3dfcded81765a08617c75e13297247e8f75ab34ed4c64833aab643460be85e,train,1
kara_healthy_02_healthy_02_1635939467571,data/processed/final/train/images/kara_healthy_02_healthy_02_1635939467571.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,a748cb0d93c3cf4d3319a48ba2d354c7fb7f791e822acd096cf6142692833616,train,2
kara_healthy_02_healthy_02_1635939543075,data/processed/final/train/images/kara_healthy_02_healthy_02_1635939543075.jpg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,9688cde1755133a162147738ad673dc788709b78c54b0d64045a66fabcf26760,train,5
